framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu/apu/xpu/dsp,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,1,66.515,66.773,66.217,0.107,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,2,37.774,37.983,37.592,0.093,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,4,20.43,30.794,19.597,1.502,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENCL,1,11.658,14.267,11.276,0.25,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENGL,1,22.34,23.073,21.983,0.153,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_VULKAN,1,14.768,15.72,14.445,0.197,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,1,58.313,58.551,58.107,0.088,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,2,31.937,33.745,31.468,0.661,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,4,18.776,18.921,18.634,0.048,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENCL,1,11.066,12.194,10.599,0.184,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENGL,1,32.447,33.097,31.405,0.152,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_VULKAN,1,16.648,26.681,15.953,0.598,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,1,78.767,79.826,72.656,1.804,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,2,42.948,43.373,42.564,0.233,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,4,42.37,42.706,42.085,0.103,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENCL,1,11.853,12.804,11.536,0.266,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENGL,1,22.125,23.442,21.685,0.168,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv1,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_VULKAN,1,14.992,22.087,14.293,0.335,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,1,50.59,51.041,50.316,0.135,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,2,26.156,26.292,26.027,0.067,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,4,14.188,14.378,14.053,0.071,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENCL,1,9.271,12.206,8.717,0.461,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENGL,1,24.998,26.009,24.716,0.154,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,tf_mobilenetv2,android-armv7,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_VULKAN,1,17.139,19.367,15.293,0.53,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv8,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,1,76.055,76.389,75.62,0.127,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv8,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,2,40.298,40.755,40.085,0.155,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv8,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,ARM,4,21.206,21.317,21.084,0.049,100,8.1.0,100,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv8,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENCL,1,11.709,14.17,10.458,0.248,100,8.1.0,1000,20,8.61268E+14
mnn,master,d7fb0ed,caffe_mobilenetv1,android-armv8,sdm845,SD845,Kyro385:8x@2.8,Adreno-630@710,Hexagon-685,MI 8,big_cores,GPU_OPENGL,1,22.501,23.761,21.943,0.166,100,8.1.0,1000,20,8.61268E+14
