framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,249.221,252.995,246.358,1.495,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,125.97,133.192,124.363,1.038,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,70.384,75.003,68.117,1.08,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,17.447,23.884,15.898,1.008,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,32.222,39.007,27.442,1.508,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,25.768,36.448,21.387,2.197,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,179.472,183.909,177.421,1.045,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,82.839,90.57,74.305,7.102,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,46.52,49.619,42.524,1.736,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,17.291,27.182,14.925,1.161,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,32.542,40.28,29.905,1.807,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,25.092,34.174,20.317,2.11,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,215.819,218.518,214.187,0.99,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,110.819,115.37,109.254,0.832,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,58.807,61.989,57.45,1.003,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,19.072,32.046,15.173,2.498,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,32.37,43.824,28.19,3.238,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,40.01,52.705,33.759,2.616,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,132.214,159.801,35.351,47.392,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,19.347,19.459,19.265,0.04,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,39.969,41.3,36.066,0.721,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,19.319,32.198,14.63,2.666,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,31.555,46.662,28.372,2.476,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,40.304,51.282,35.476,2.095,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,250.148,253.062,247.655,1.273,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,117.094,129.682,110.667,6.543,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,64.482,67.908,59.54,2.346,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,17.973,25.364,15.205,1.321,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,32.273,40.824,30.189,1.613,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,26.194,33.841,22.129,1.782,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,178.105,181.644,175.35,1.442,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,88.89,91.943,87.342,0.737,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,51.234,53.522,49.818,0.897,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,17.424,24.554,15.116,1.092,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,32.213,39.194,30.014,1.523,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,26.923,38.716,21.429,2.66,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,59.049,153.915,27.129,53.845,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,15.256,15.37,15.16,0.041,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,38.602,40.373,35.918,1.33,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,18.178,28.236,13.638,2.586,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,26.771,41.148,21.799,3.477,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,35.551,47.142,30.858,2.344,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,1,99.174,113.473,25.465,29.841,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,2,14.251,14.316,14.182,0.028,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,ARM,4,29.935,31.243,28.66,0.529,100,9,100,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENCL,1,16.902,30.203,12.257,2.777,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_OPENGL,1,26.536,39.865,21.899,3.619,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv8,kirin810,kirin810,2xA76@2.27+6xA55@1.88,Mali-G52,D100@Lite,SPN-AL00,big_cores,GPU_VULKAN,1,35.355,46.375,30.069,2.459,100,9,1000,20,A00000B7D25778
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,big_cores,ARM,1,42.45,47.324,41.917,0.699,100,10,100,20,8.65774E+14
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,big_cores,ARM,2,23.358,24.072,23.158,0.131,100,10,100,20,8.65774E+14
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,big_cores,ARM,4,15.042,18.826,14.231,0.631,100,10,100,20,8.65774E+14
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,big_cores,GPU_OPENCL,1,17.773,25.174,12.74,1.358,100,10,1000,20,8.65774E+14
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,big_cores,GPU_OPENGL,1,48.746,57.863,41.42,2.222,100,10,1000,20,8.65774E+14
