framework,branch,commit_id,model_name,platform,soc,product,power_mode,backend,cpu_thread_num,avg,max,min,battery_level,system_version,repeats,warmup,imei
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,1,31.096,31.162,31.030,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,2,17.933,17.952,17.914,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,4,9.987,10.048,9.926,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,8.120,8.330,7.911,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_OPENGL,1,18.425,20.185,16.665,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_VULKAN,1,15.193,15.235,15.151,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,ARM,1,26.103,26.131,26.075,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,ARM,2,15.820,15.868,15.772,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,ARM,4,9.115,9.133,9.098,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,9.386,9.471,9.302,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,GPU_OPENGL,1,22.200,22.217,22.183,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,caffe_mobilenetv2,android-armv7,kona,V1981A,big_cores,GPU_VULKAN,1,18.683,19.492,17.874,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,1,30.899,30.974,30.823,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,2,17.958,17.973,17.942,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,ARM,4,9.955,9.977,9.932,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,10.084,10.094,10.074,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_OPENGL,1,18.077,19.775,16.379,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv1,android-armv7,kona,V1981A,big_cores,GPU_VULKAN,1,15.931,15.949,15.913,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv2,android-armv7,kona,V1981A,big_cores,ARM,1,19.114,19.119,19.109,100,10,2,2,A00000D3EB320E
mnn,(HEAD detached at 1.0.0),0df31a8,tf_mobilenetv2,android-armv7,kona,V1981A,big_cores,ARM,2,11.815,11.837,11.793,100,10,2,2,A00000D3EB320E
