framework,branch,commit_id,model_name,platform,soc,product,power_mode,backend,cpu_thread_num,avg,max,min,battery_level,system_version,repeats,warmup,imei
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,1,37.91,38.25,37.57,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,2,22.44,22.67,22.20,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,4,14.21,14.66,13.76,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,GPU_VULKAN,1,26.66,27.02,26.30,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,1,31.25,31.65,30.84,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,2,28.91,38.52,19.30,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,4,22.45,22.49,22.42,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,GPU_VULKAN,1,25.55,26.60,24.51,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,1,33.02,33.32,32.71,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,2,20.06,20.35,19.76,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,4,11.44,11.55,11.34,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,GPU_VULKAN,1,27.19,27.41,26.97,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,1,28.51,28.58,28.44,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,2,17.60,17.66,17.54,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,4,11.33,11.38,11.27,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,GPU_VULKAN,1,22.76,22.90,22.62,100,10,2,2,A00000D3EB320E
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,59.02,62.41,55.63,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,48.87,63.82,33.91,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,24.98,26.09,23.88,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_VULKAN,1,0.0,0.0,0.0,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,49.62,49.72,49.52,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,32.33,32.36,32.30,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,23.43,23.82,23.03,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_VULKAN,1,0.0,0.0,0.0,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,61.76,65.52,58.01,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,30.37,30.98,29.77,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,21.61,22.27,20.96,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_VULKAN,1,0.0,0.0,0.0,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,47.51,47.92,47.09,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,32.70,32.74,32.65,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,19.84,19.95,19.73,100,10,2,2,865774040734836
ncnn,master,66c8c7e,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_VULKAN,1,0.0,0.0,0.0,100,10,2,2,865774040734836
