framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,1,86.8632,89.854,85.812,1.229,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,2,51.324,52.527,50.011,0.791,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,4,32.9617,36.802,32.186,0.861,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,1,74.5356,82.295,71.058,3.768,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,2,38.262,39.057,37.851,0.32,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,4,26.0711,29.069,25.558,0.588,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,GPU_CL_GL,1,88.827,96.235,85.608,3.567,98,10,1,20,865774040734836
tflite,master-de8ecf45,bb3c460114,squeezenet,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,DSP_HEXAGON,1,0.0,0.0,0.0,0.0,98,10,1,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,1,65.0736,66.313,63.487,0.894,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,2,35.0211,37.088,33.989,0.87,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,4,19.9578,22.609,19.62,0.598,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,1,47.9141,53.594,46.918,1.432,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,2,25.2093,25.87,24.964,0.214,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,4,20.5349,22.437,18.684,1.388,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,GPU_CL_GL,1,65.1321,68.231,63.413,1.15,98,10,1,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv1,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,DSP_HEXAGON,1,0.0,0.0,0.0,0.0,98,10,1,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,1,44.3198,51.017,42.812,1.867,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,2,24.904,26.714,24.148,0.614,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM,4,16.0992,21.178,15.312,0.979,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,1,28.6643,33.174,28.234,0.922,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,2,15.8523,16.017,15.733,0.063,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,ARM_XNNPACK,4,12.4234,12.672,12.272,0.073,98,10,2,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,GPU_CL_GL,1,45.302,52.377,42.655,2.491,98,10,1,20,865774040734836
tflite,master-de8ecf45,bb3c460114,tf_mobilenetv2,android-armv7,kirin820,kirin820,1xA76@2.36+3xA76@2.22+4xA55@1.84,Mali-G57 MP6,D110@Lite,TEL-AN00,no_bind,DSP_HEXAGON,1,0.0,0.0,0.0,0.0,98,10,1,20,865774040734836
