framework,branch,commit_id,model_name,platform,soc,product,power_mode,backend,cpu_thread_num,avg,max,min,battery_level,system_version,repeats,warmup,imei
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,1,30.334,30.354,30.315,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,2,30.340,30.389,30.290,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,4,30.363,30.393,30.334,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,13.812,15.008,12.617,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,1,25.855,25.867,25.843,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,2,15.899,15.912,15.885,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,4,55.059,55.579,54.539,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,11.896,14.173,9.618,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,1,30.820,30.821,30.820,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,2,18.311,18.322,18.300,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,ARM,4,63.902,63.929,63.875,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,7.670,7.832,7.508,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,1,19.579,19.604,19.554,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,2,12.337,12.357,12.318,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,ARM,4,19.577,19.672,19.482,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kona,V1981A,big_cores,GPU_OPENCL,1,12.837,13.032,12.642,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,1,28.440,28.463,28.417,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,2,16.864,16.880,16.848,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,4,35.086,35.978,34.193,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,GPU_OPENCL,1,12.811,15.175,10.446,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,1,24.601,24.684,24.517,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,2,24.597,24.603,24.592,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,4,31.795,31.855,31.735,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,GPU_OPENCL,1,17.431,17.632,17.229,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,1,29.209,29.221,29.197,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,2,29.220,29.252,29.187,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,ARM,4,36.588,36.729,36.447,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kona,V1981A,big_cores,GPU_OPENCL,1,13.021,13.733,12.308,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,1,18.290,18.302,18.277,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,2,11.496,11.505,11.487,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,ARM,4,23.959,24.043,23.876,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kona,V1981A,big_cores,GPU_OPENCL,1,16.028,16.266,15.791,100,10,2,2,A00000D3EB320E
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,43.521,43.596,43.447,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,24.993,25.118,24.867,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,14.616,14.619,14.612,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,18.148,18.914,17.383,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,36.869,36.928,36.811,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,22.359,22.516,22.202,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,14.637,14.743,14.531,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,19.657,20.514,18.800,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,44.994,45.087,44.901,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,25.978,26.030,25.926,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,30.683,33.627,27.740,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,24.278,24.532,24.025,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,1,28.290,28.498,28.082,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,2,18.264,18.288,18.239,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,ARM,4,12.800,12.833,12.768,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv7,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,26.933,27.173,26.693,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,38.093,38.292,37.894,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,21.936,21.996,21.876,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,12.888,12.895,12.880,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,19.404,19.697,19.111,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,33.442,33.480,33.405,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,20.552,20.586,20.517,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,13.943,13.993,13.892,100,10,2,2,865774040734836
tnn,master,2aa6b9f,caffe_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,16.762,16.793,16.731,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,39.157,39.189,39.124,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,23.037,23.106,22.968,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,14.074,14.093,14.055,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv1.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,24.600,24.773,24.426,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,1,26.213,26.266,26.159,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,2,16.895,16.941,16.849,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,ARM,4,12.170,12.215,12.126,100,10,2,2,865774040734836
tnn,master,2aa6b9f,tf_mobilenetv2.opt,android-armv8,kirin820,TEL-AN00,big_cores,GPU_OPENCL,1,26.612,27.631,25.594,100,10,2,2,865774040734836
