framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,30.805,30.937,30.647,0.067,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,18.264,18.339,18.200,0.026,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,10.447,10.721,10.332,0.066,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENCL,1,7.608,14.414,6.264,0.363,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENGL,1,11.264,16.874,10.719,0.286,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_VULKAN,1,8.370,13.634,7.567,0.647,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,26.569,26.651,26.489,0.032,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,15.991,16.059,15.937,0.023,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,8.823,8.976,8.766,0.046,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENCL,1,10.065,14.711,7.318,0.838,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENGL,1,14.683,16.892,14.319,0.170,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,caffe_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_VULKAN,1,9.964,14.410,9.356,0.282,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,31.037,31.201,30.857,0.080,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,18.362,18.432,18.300,0.029,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,10.479,11.138,10.369,0.103,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENCL,1,7.714,11.001,7.088,0.304,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENGL,1,11.043,14.480,10.676,0.269,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_VULKAN,1,8.686,10.891,8.307,0.423,100,10,1000,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,19.509,19.632,19.444,0.032,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,11.968,12.076,11.897,0.026,100,10,100,20,A00000D3EB320E
mnn,master,3ea9dd1,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,6.775,7.202,6.705,0.056,100,10,100,20,A00000D3EB320E
