framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,32.74,32.87,32.58,0.06,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,19.48,19.58,19.34,0.04,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,12.03,12.24,11.91,0.06,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_VULKAN,1,22.26,24.39,21.33,0.39,100,10,1000,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,28.06,28.22,27.09,0.16,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,17.50,18.46,17.02,0.15,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,12.10,12.26,11.95,0.06,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_VULKAN,1,20.10,21.86,19.36,0.42,100,10,1000,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv8,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,29.23,29.39,29.11,0.06,100,10,100,20,A00000D3EB320E
ncnn,master,2384fad,caffe_mobilenetv1.opt,android-armv8,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,17.67,17.78,17.57,0.05,100,10,100,20,A00000D3EB320E
