framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,1,56.1314,56.415,55.973,0.09,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,2,33.6118,34.145,33.427,0.107,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,4,20.6579,21.047,20.403,0.122,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,1,50.3759,50.752,50.254,0.12,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,2,28.0238,28.426,27.85,0.069,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,4,16.3444,16.509,16.205,0.062,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,GPU_CL_GL,1,56.382,58.58,55.989,0.215,100,10,1000,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,squeezenet,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,DSP_HEXAGON,1,56.5222,64.873,56.049,0.668,100,10,1000,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,1,41.5978,43.47,41.476,0.203,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,2,23.8313,24.325,23.707,0.129,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,4,13.4836,13.779,13.353,0.082,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,1,31.0763,31.223,30.923,0.062,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,2,17.8683,18.31,17.607,0.108,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,4,12.2175,12.379,12.086,0.062,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,GPU_CL_GL,1,42.0678,44.414,41.886,0.101,100,10,1000,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv1,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,DSP_HEXAGON,1,42.0962,42.502,41.904,0.078,100,10,1000,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,1,29.3744,29.514,29.234,0.053,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,2,17.4745,17.885,17.365,0.063,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM,4,10.1338,10.622,9.978,0.149,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,1,18.9752,19.031,18.91,0.023,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,2,10.9879,12.009,10.802,0.141,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,ARM_XNNPACK,4,6.83114,7.266,6.75,0.059,100,10,100,20,A00000D3EB320E
tflite,(HEAD detached at de8ecf4592),de8ecf4592,tf_mobilenetv2,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,no_bind,GPU_CL_GL,1,29.2551,29.527,29.065,0.084,100,10,1000,20,A00000D3EB320E
