framework,branch,commit_id,model_name,platform,soc_code,soc_name,cpu,gpu,npu,product,power_mode,backend,cpu_thread_num,avg,max,min,std_dev,battery_level,system_version,repeats,warmup,imei
tnn,master,c286af0,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,30.186,31.292,29.864,0.247,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,19.138,46.892,17.753,4.963,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,30.327,36.507,29.793,1.039,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENCL,1,9.887,17.394,8.167,0.445,100,10,1000,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,26.029,26.124,25.958,0.030,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,18.223,101.687,15.929,11.574,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,4,52.215,97.312,16.579,8.718,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,caffe_mobilenetv2.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,GPU_OPENCL,1,11.043,13.727,9.927,0.590,100,10,1000,20,A00000D3EB320E
tnn,master,c286af0,tf_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,1,30.766,30.906,30.639,0.050,100,10,100,20,A00000D3EB320E
tnn,master,c286af0,tf_mobilenetv1.opt,android-armv7,kona,SD865,Kryo585:1xA77@2.84+3xA77@2.42+4XA55@1.8,Adreno-650,Hexagon-698,V1981A,big_cores,ARM,2,30.963,31.166,30.858,0.044,100,10,100,20,A00000D3EB320E
